0.0314159265359 0.517967641302 -0.06507853296033   0.5061956025749 -0.06370189567104   -0.6258547261944 -1.064098497925   -0.6226109423934 -1.074689740828   -0.3020519396659 -0.1268962061946   -0.3018977846766 -0.1262916950287   
0.09424777960769 0.5028155703303 -0.09970316135327   0.4930251033659 -0.09892959331396   -0.3324799719669 -0.9286511807544   -0.3255706393694 -0.9292248900522   -0.2827598548682 -0.1231525966333   -0.2828618713052 -0.1236601135601   
0.1570796326795 0.4903154196301 -0.1226689098204   0.4788987112481 -0.1217619417247   -0.2308081559637 -0.8397383901608   -0.2292275795427 -0.833291975024   -0.2750732236265 -0.1299540390845   -0.2759688375839 -0.130183773075   
0.2199114857513 0.4634882768038 -0.1484760218416   0.4608485703492 -0.1479735600019   -0.1753731631254 -0.7702440324164   -0.1745431579374 -0.7726718509594   -0.2686177781776 -0.1387424986514   -0.2683257790143 -0.1385303337206   
0.2827433388231 0.4474753468643 -0.1642503774916   0.4415510017575 -0.1660610545569   -0.1372655453389 -0.7127624127715   -0.1350808875452 -0.7150248553293   -0.2626343371919 -0.1454572444993   -0.261381082674 -0.1450810227031   
0.3455751918949 0.4297073609863 -0.1807167391778   0.4219601673757 -0.1803344886539   -0.1087918839161 -0.6636791620592   -0.1062573133068 -0.6657275846382   -0.2559897643057 -0.1515951868245   -0.2544747738842 -0.1517108339997   
0.4084070449667 0.4092376634981 -0.1964501985005   0.4023778420177 -0.1926050762525   -0.08714232253651 -0.6213148148188   -0.08505861999653 -0.6245259344534   -0.2489273846421 -0.1573253192692   -0.2475449556367 -0.1579971730294   
0.4712388980385 0.3883140634975 -0.209195003905   0.3830743579279 -0.2031641392576   -0.07066411007037 -0.5846376839051   -0.06916089274376 -0.5892718877206   -0.2418127237348 -0.1625045650285   -0.2406564667146 -0.1634621701959   
0.5340707511103 0.3685285359577 -0.2184227256481   0.3643196941409 -0.2119791938452   -0.05810565009029 -0.5528006871727   -0.0569626480175 -0.5582423750302   -0.2348331484867 -0.1670643171104   -0.2338425326443 -0.1680137091791   
0.5969026041821 0.3504322754751 -0.2246908375356   0.3463309452367 -0.2190751823923   -0.04848065879 -0.5250387144339   -0.04741845878993 -0.5304249570194   -0.228041606783 -0.1710218664494   -0.2271102120853 -0.1717771173705   
0.6597344572539 0.333961974124 -0.2288516052823   0.3292497966712 -0.2245785221786   -0.04102938007701 -0.5006688805959   -0.03984699754592 -0.5052782082003   -0.2214336153587 -0.1744315806998   -0.2204639746013 -0.1749266961181   
0.7225663103257 0.3188250760169 -0.2316486632386   0.3131474032214 -0.2286769265668   -0.0351828903591 -0.4791032017923   -0.03378989348481 -0.4824953690734   -0.2149929562297 -0.1773530238035   -0.213916414655 -0.1776075810735   
0.7853981633974 0.3047123716205 -0.2335983163824   0.2980404784167 -0.2315771831187   -0.03052432129117 -0.4598519224993   -0.02892343233436 -0.4618635883466   -0.2087099152161 -0.1798386143421   -0.2074885973315 -0.179917162368   
0.8482300164692 0.29138321428 -0.2350051462756   0.2839086288971 -0.233478172399   -0.02675248174906 -0.4425172146039   -0.02500715781475 -0.4431979405693   -0.2025847679908 -0.1819317247205   -0.2012061871432 -0.1819121666286   
0.911061869541 0.2786820844057 -0.236020397552   0.2707087907863 -0.2345576013811   -0.02365132612781 -0.4267814155219   -0.02185479660135 -0.4263177365448   -0.1966253435831 -0.1836685963663   -0.1950951115459 -0.1836223919546   
0.9738937226128 0.2665256820732 -0.2367012244055   0.2583858377745 -0.2349675919449   -0.02106607144994 -0.4123934574903   -0.01931776405639 -0.4110426122806   -0.1908432155291 -0.185080839926   -0.1891782874775 -0.1850630989233   
1.036725575685 0.254881546696 -0.2370564231785   0.2468797588777 -0.2348350927556   -0.018885341259 -0.3991557457003   -0.01727548874241 -0.3971959686218   -0.1852504072004 -0.1861973527976   -0.1834737139503 -0.1862437696673   
1.099557428756 0.243747741889 -0.2370767894402   0.2361301807577 -0.2342645087993   -0.01702821227778 -0.3869125955491   -0.01562936369721 -0.3846098475664   -0.1798571491348 -0.1870454506867   -0.177993722221 -0.1871733451796   
1.162389281828 0.2331369802584 -0.236752808587   0.2260790069368 -0.2333410658762   -0.01543501252868 -0.3755406069999   -0.01429863014688 -0.3731288853519   -0.1746706469656 -0.1876513642005   -0.172745039476 -0.1878628024936   
1.2252211349 0.2230656561054 -0.23608334823   0.2166717954596 -0.2321341519562   -0.01406088218314 -0.3649409514843   -0.01321732246177 -0.3626127090382   -0.1696946254761 -0.1880403260118   -0.1677293449918 -0.188325987651   
1.288052987972 0.2135470805202 -0.2350785900559   0.2078583349966 -0.2307002991999   -0.01287131749598 -0.3550333578712   -0.01233183758365 -0.3529368784346   -0.1649293928268 -0.1882364426956   -0.1629440722712 -0.188579438534   
1.350884841044 0.2045878979146 -0.2337596338754   0.1995927353139 -0.2290856978653   -0.01183911240167 -0.3457515188138   -0.01159891309089 -0.3439927196736   -0.1603722111486 -0.1882624875046   -0.1583832878977 -0.1886417116303   
1.413716694115 0.1961867066295 -0.232156434858   0.1918332478147 -0.2273282458402   -0.01094227178238 -0.3370396384251   -0.01098390659852 -0.3356864213392   -0.1560178170073 -0.1881396969779   -0.1540385427983 -0.1885325397066   
1.476548547187 0.188334094748 -0.2303051245733   0.1845419487878 -0.22545918616   -0.01016259274814 -0.3288498717346   -0.01045931994557 -0.3279377049527   -0.1518589862851 -0.1878876143492   -0.1498996375026 -0.1882720095649   
1.539380400259 0.1810134979273 -0.2282453291104   0.1776843711773 -0.2235044001149   -0.009484700954225 -0.3211404463197   -0.01000353422101 -0.3206783022055   -0.1478870786883 -0.1875239962212   -0.1459552752774 -0.1878798560327   
1.602212253331 0.174202468426 -0.2260178047254   0.1712291312746 -0.2214854225332   -0.008895394249211 -0.3138742969314   -0.009599731154067 -0.313850397943   -0.1440925259488 -0.1870647831055   -0.1421935968243 -0.1873749097978   
1.665044106403 0.1678740804055 -0.2236625264357   0.1651475783099 -0.2194202379661   -0.008383192323352 -0.3070180802971   -0.009234980066075 -0.3074051392066   -0.1404652474332 -0.1865241260312   -0.138602602196 -0.186774702468   
1.727875959474 0.1619983028018 -0.2212172551646   0.1594134786805 -0.2173239065542   -0.00793802341099 -0.3005414679633   -0.008899471211113 -0.3013012673833   -0.1369949892654 -0.185914457854   -0.1351704716776 -0.1860952140944   
1.790707812546 0.1565432436731 -0.2187165491051   0.1540027387796 -0.2152090586485   -0.007551001590273 -0.2944166399258   -0.008585877332787 -0.2955039005275   -0.1336715904024 -0.1852465972325   -0.1318857998553 -0.1853507403775   
1.853539665618 0.1514762189967 -0.2161911566587   0.1488931658234 -0.2130862887518   -0.007214263640509 -0.2886179214261   -0.008288826369466 -0.2899834732295   -0.1304851830804 -0.184529874146   -0.1287377576262 -0.1845538547493   
1.91637151869 0.1467646311554 -0.213667719097   0.1440642635584 -0.2109644722983   -0.006920844931553 -0.28312152048   -0.008004469466736 -0.2847148292574   -0.1274263367267 -0.183772267468   -0.1257161959407 -0.183715441797   
1.979203371762 0.1423766613917 -0.2111687127059   0.1394970588711 -0.208851023176   -0.006664580931992 -0.2779053352713   -0.00773012995846 -0.2796764553193   -0.1244861548138 -0.1829805469847   -0.1228117037527 -0.1828447813777   
2.042035224833 0.1382817926567 -0.2087125673378   0.1351739542616 -0.2067521055133   -0.00644002564486 -0.2729488092353   -0.007464020424849 -0.274849840944   -0.1216563335046 -0.1821604140567   -0.1200156306399 -0.1819496662218   
