0.0314159 0.517968 -0.0650785  2.38834 -0.0418452  0.506196 -0.0637019  0.344239 -0.0477799  -0.625855 -1.0641  0.50443 -0.100411  -0.622611 -1.07469  2.49737 -0.0988566  -0.302052 -0.126896  5.20099 -0.0504074  -0.301898 -0.126292  5.20602 -0.04748  
0.0942478 0.502816 -0.0997032  2.40763 -0.100882  0.493025 -0.0989296  0.371408 -0.112684  -0.33248 -0.928651  0.509541 -0.215177  -0.325571 -0.929225  2.50364 -0.219196  -0.28276 -0.123153  5.19328 -0.133641  -0.282862 -0.12366  5.18864 -0.136481  
0.15708 0.490315 -0.122669  2.41991 -0.130652  0.478899 -0.121762  0.377946 -0.149135  -0.230808 -0.839738  0.51061 -0.30679  -0.229228 -0.833292  2.51318 -0.315225  -0.275073 -0.129954  5.18753 -0.209575  -0.275969 -0.130184  5.17949 -0.203698  
0.219911 0.463488 -0.148476  2.39808 -0.207421  0.460849 -0.147974  0.387728 -0.212203  -0.175373 -0.770244  0.515493 -0.383372  -0.174543 -0.772672  2.51262 -0.380444  -0.268618 -0.138742  5.17383 -0.290033  -0.268326 -0.13853  5.17757 -0.291296  
0.282743 0.447475 -0.16425  2.40014 -0.234094  0.441551 -0.166061  0.385447 -0.257396  -0.137266 -0.712762  0.520559 -0.452086  -0.135081 -0.715025  2.51514 -0.449626  -0.262634 -0.145457  5.1721 -0.351533  -0.261381 -0.145081  5.18306 -0.361156  
0.345575 0.429707 -0.180717  2.40625 -0.273851  0.42196 -0.180334  0.379788 -0.298639  -0.108792 -0.663679  0.524866 -0.516149  -0.106257 -0.665728  2.51814 -0.513624  -0.25599 -0.151595  5.17397 -0.41474  -0.254475 -0.151711  5.18104 -0.430463  
0.408407 0.409238 -0.19645  2.41131 -0.326984  0.402378 -0.192605  0.375291 -0.3415  -0.0871423 -0.621315  0.529005 -0.576056  -0.0850586 -0.624526  2.52173 -0.56967  -0.248927 -0.157325  5.17559 -0.479175  -0.247545 -0.157997  5.17535 -0.496947  
0.471239 0.388314 -0.209195  2.41435 -0.380734  0.383074 -0.203164  0.372907 -0.385996  -0.0706641 -0.584638  0.533688 -0.631521  -0.0691609 -0.589272  2.52639 -0.619639  -0.241813 -0.162505  5.17647 -0.540941  -0.240656 -0.163462  5.17107 -0.557813  
0.534071 0.368529 -0.218423  2.41479 -0.427791  0.36432 -0.211979  0.372275 -0.430765  -0.0581057 -0.552801  0.539331 -0.682311  -0.0569626 -0.558242  2.53217 -0.665986  -0.234833 -0.167064  5.17702 -0.598108  -0.233843 -0.168014  5.17006 -0.613104  
0.596903 0.350432 -0.224691  2.41278 -0.46674  0.346331 -0.219075  0.372784 -0.474606  -0.0484807 -0.525039  0.54605 -0.728458  -0.0474185 -0.530425  2.53887 -0.710272  -0.228042 -0.171022  5.17764 -0.650501  -0.22711 -0.171777  5.17186 -0.664099  
0.659734 0.333962 -0.228852  2.4092 -0.499185  0.32925 -0.224579  0.373923 -0.516786  -0.0410294 -0.500669  0.553749 -0.770241  -0.039847 -0.505278  2.54627 -0.753112  -0.221434 -0.174432  5.17845 -0.698707  -0.220464 -0.174927  5.1752 -0.71204  
0.722566 0.318825 -0.231649  2.40526 -0.527562  0.313147 -0.228677  0.375358 -0.556962  -0.0351829 -0.479103  0.56223 -0.808091  -0.0337899 -0.482495  2.55421 -0.794497  -0.214993 -0.177353  5.17946 -0.74344  -0.213916 -0.177608  5.17883 -0.757702  
0.785398 0.304712 -0.233598  2.40206 -0.554042  0.29804 -0.231577  0.376901 -0.595045  -0.0305243 -0.459852  0.571265 -0.842507  -0.0289234 -0.461864  2.56261 -0.834117  -0.20871 -0.179839  5.18062 -0.785269  -0.207489 -0.179917  5.18193 -0.801391  
0.84823 0.291383 -0.235005  2.40033 -0.580139  0.283909 -0.233478  0.378467 -0.631089  -0.0267525 -0.442517  0.580641 -0.873989  -0.0250072 -0.443198  2.57143 -0.871586  -0.202585 -0.181932  5.18187 -0.824571  -0.201206 -0.181912  5.18407 -0.843108  
